[17-09-2026 | 18:00:53] Temp=34.1°C  Hum=27.1%  => 🥵🌵 A/C + Humidificador ON
[17-09-2026 | 18:20:19] Temp=35.0°C  Hum=91.8%  => A/C + Deshumidificador encendido
[17-09-2026 | 18:20:22] Temp=26.9°C  Hum=40.8%  => Todo estable, sistema apagado
[17-09-2026 | 18:21:33] Temp=16.4°C  Hum=73.2%  => Calefacción encendido
[17-09-2026 | 22:08:42] Temp=36.6°C  Hum=84.4%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:08:45] Temp=19.9°C  Hum=60.4%  => Todo estable, sistema apagado
[17-09-2026 | 22:08:48] Temp=15.1°C  Hum=48.4%  => Calefacción encendido
[17-09-2026 | 22:08:51] Temp=31.5°C  Hum=30.1%  => A/C + Humidificador encendido
[17-09-2026 | 22:08:54] Temp=16.2°C  Hum=76.3%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 22:08:57] Temp=30.2°C  Hum=39.4%  => Ventilador encendido
[17-09-2026 | 22:09:00] Temp=13.7°C  Hum=66.6%  => Calefacción encendido
[17-09-2026 | 22:09:03] Temp=37.1°C  Hum=60.6%  => Ventilador encendido
[17-09-2026 | 22:09:06] Temp=37.2°C  Hum=81.6%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:09:09] Temp=32.5°C  Hum=84.7%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:09:12] Temp=29.1°C  Hum=90.4%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:09:15] Temp=23.0°C  Hum=45.6%  => Todo estable, sistema apagado
[17-09-2026 | 22:09:18] Temp=14.0°C  Hum=90.3%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 22:09:21] Temp=30.4°C  Hum=45.8%  => Ventilador encendido
[17-09-2026 | 22:09:24] Temp=34.0°C  Hum=92.2%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:09:27] Temp=21.4°C  Hum=93.8%  => Deshumidificador encendido
[17-09-2026 | 22:09:30] Temp=14.1°C  Hum=77.2%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 22:09:33] Temp=23.3°C  Hum=48.0%  => Todo estable, sistema apagado
[17-09-2026 | 22:09:36] Temp=22.4°C  Hum=48.5%  => Todo estable, sistema apagado
[17-09-2026 | 22:09:39] Temp=23.4°C  Hum=39.5%  => Todo estable, sistema apagado
[17-09-2026 | 22:09:42] Temp=22.2°C  Hum=31.0%  => Humidificador encendido
[17-09-2026 | 22:09:45] Temp=12.4°C  Hum=86.4%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 22:09:48] Temp=23.3°C  Hum=44.4%  => Todo estable, sistema apagado
[17-09-2026 | 22:09:51] Temp=35.5°C  Hum=31.5%  => A/C + Humidificador encendido
[17-09-2026 | 22:09:54] Temp=25.7°C  Hum=52.7%  => Todo estable, sistema apagado
[17-09-2026 | 22:09:57] Temp=14.3°C  Hum=90.4%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 22:10:00] Temp=27.4°C  Hum=43.6%  => Todo estable, sistema apagado
[17-09-2026 | 22:10:03] Temp=14.8°C  Hum=40.6%  => Calefacción encendido
[17-09-2026 | 22:10:06] Temp=18.2°C  Hum=94.1%  => Deshumidificador encendido
[17-09-2026 | 22:10:09] Temp=34.1°C  Hum=31.9%  => A/C + Humidificador encendido
[17-09-2026 | 22:10:12] Temp=13.0°C  Hum=91.9%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 22:10:15] Temp=37.6°C  Hum=41.1%  => Ventilador encendido
[17-09-2026 | 22:10:18] Temp=17.5°C  Hum=39.1%  => Todo estable, sistema apagado
[17-09-2026 | 22:10:21] Temp=29.6°C  Hum=74.0%  => Ventilador encendido
[17-09-2026 | 22:10:24] Temp=15.2°C  Hum=55.1%  => Calefacción encendido
[17-09-2026 | 22:10:27] Temp=12.1°C  Hum=80.7%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 22:10:30] Temp=12.8°C  Hum=35.2%  => Calefacción encendido
[17-09-2026 | 22:10:33] Temp=18.6°C  Hum=87.4%  => Deshumidificador encendido
[17-09-2026 | 22:10:36] Temp=20.4°C  Hum=59.4%  => Todo estable, sistema apagado
[17-09-2026 | 22:10:39] Temp=27.8°C  Hum=54.8%  => Todo estable, sistema apagado
[17-09-2026 | 22:10:42] Temp=27.0°C  Hum=88.2%  => Deshumidificador encendido
[17-09-2026 | 22:10:45] Temp=37.2°C  Hum=46.5%  => Ventilador encendido
[17-09-2026 | 22:10:48] Temp=22.4°C  Hum=52.2%  => Todo estable, sistema apagado
[17-09-2026 | 22:10:51] Temp=12.9°C  Hum=60.1%  => Calefacción encendido
[17-09-2026 | 22:10:54] Temp=18.4°C  Hum=34.8%  => Humidificador encendido
[17-09-2026 | 22:10:57] Temp=35.7°C  Hum=80.1%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:11:00] Temp=35.7°C  Hum=53.9%  => Ventilador encendido
[17-09-2026 | 22:11:03] Temp=24.6°C  Hum=79.4%  => Deshumidificador encendido
[17-09-2026 | 22:11:06] Temp=14.2°C  Hum=94.4%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 22:11:09] Temp=12.9°C  Hum=82.8%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 22:11:12] Temp=12.9°C  Hum=36.1%  => Calefacción encendido
[17-09-2026 | 22:11:15] Temp=26.9°C  Hum=77.2%  => Deshumidificador encendido
[17-09-2026 | 22:11:18] Temp=19.7°C  Hum=94.4%  => Deshumidificador encendido
[17-09-2026 | 22:11:21] Temp=28.6°C  Hum=26.8%  => Humidificador encendido
[17-09-2026 | 22:11:24] Temp=13.2°C  Hum=53.3%  => Calefacción encendido
[17-09-2026 | 22:11:27] Temp=35.7°C  Hum=54.8%  => Ventilador encendido
[17-09-2026 | 22:11:30] Temp=23.9°C  Hum=51.8%  => Todo estable, sistema apagado
[17-09-2026 | 22:11:33] Temp=31.6°C  Hum=46.8%  => Ventilador encendido
[17-09-2026 | 22:11:36] Temp=30.4°C  Hum=43.6%  => Ventilador encendido
[17-09-2026 | 22:11:39] Temp=31.8°C  Hum=65.1%  => Ventilador encendido
[17-09-2026 | 22:11:42] Temp=19.7°C  Hum=86.7%  => Deshumidificador encendido
[17-09-2026 | 22:11:45] Temp=14.1°C  Hum=80.9%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 22:11:48] Temp=12.8°C  Hum=58.2%  => Calefacción encendido
[17-09-2026 | 22:11:51] Temp=29.9°C  Hum=68.6%  => Ventilador encendido
[17-09-2026 | 22:11:54] Temp=12.5°C  Hum=34.2%  => Calefacción + Humidificador encendido
[17-09-2026 | 22:11:57] Temp=16.3°C  Hum=71.9%  => Calefacción encendido
[17-09-2026 | 22:12:00] Temp=15.6°C  Hum=79.3%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 22:12:03] Temp=17.7°C  Hum=38.9%  => Todo estable, sistema apagado
[17-09-2026 | 22:12:06] Temp=17.8°C  Hum=36.1%  => Todo estable, sistema apagado
[17-09-2026 | 22:12:09] Temp=18.7°C  Hum=41.4%  => Todo estable, sistema apagado
[17-09-2026 | 22:12:12] Temp=25.8°C  Hum=69.1%  => Todo estable, sistema apagado
[17-09-2026 | 22:12:15] Temp=26.4°C  Hum=73.0%  => Todo estable, sistema apagado
[17-09-2026 | 22:12:18] Temp=32.2°C  Hum=31.6%  => A/C + Humidificador encendido
[17-09-2026 | 22:12:21] Temp=19.5°C  Hum=30.7%  => Humidificador encendido
[17-09-2026 | 22:12:24] Temp=18.3°C  Hum=73.9%  => Todo estable, sistema apagado
[17-09-2026 | 22:12:27] Temp=30.8°C  Hum=58.5%  => Ventilador encendido
[17-09-2026 | 22:12:30] Temp=28.1°C  Hum=59.8%  => Todo estable, sistema apagado
[17-09-2026 | 22:12:33] Temp=30.3°C  Hum=75.0%  => Ventilador encendido
[17-09-2026 | 22:12:36] Temp=35.9°C  Hum=43.0%  => Ventilador encendido
[17-09-2026 | 22:12:39] Temp=28.7°C  Hum=36.5%  => Todo estable, sistema apagado
[17-09-2026 | 22:12:42] Temp=30.1°C  Hum=55.1%  => Ventilador encendido
[17-09-2026 | 22:12:45] Temp=27.3°C  Hum=38.8%  => Todo estable, sistema apagado
[17-09-2026 | 22:12:48] Temp=24.9°C  Hum=62.2%  => Todo estable, sistema apagado
[17-09-2026 | 22:12:51] Temp=15.8°C  Hum=78.4%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 22:12:54] Temp=25.1°C  Hum=40.5%  => Todo estable, sistema apagado
[17-09-2026 | 22:12:57] Temp=30.5°C  Hum=93.1%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:13:00] Temp=17.8°C  Hum=65.9%  => Todo estable, sistema apagado
[17-09-2026 | 22:13:03] Temp=37.8°C  Hum=48.9%  => Ventilador encendido
[17-09-2026 | 22:13:06] Temp=18.4°C  Hum=88.1%  => Deshumidificador encendido
[17-09-2026 | 22:13:09] Temp=20.1°C  Hum=53.9%  => Todo estable, sistema apagado
[17-09-2026 | 22:13:12] Temp=15.6°C  Hum=40.2%  => Calefacción encendido
[17-09-2026 | 22:13:15] Temp=26.5°C  Hum=94.5%  => Deshumidificador encendido
[17-09-2026 | 22:13:18] Temp=15.4°C  Hum=39.2%  => Calefacción encendido
[17-09-2026 | 22:13:21] Temp=26.4°C  Hum=94.4%  => Deshumidificador encendido
[17-09-2026 | 22:13:24] Temp=29.6°C  Hum=83.2%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:13:27] Temp=35.4°C  Hum=94.1%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:13:30] Temp=26.0°C  Hum=92.8%  => Deshumidificador encendido
[17-09-2026 | 22:13:33] Temp=37.5°C  Hum=50.5%  => Ventilador encendido
[17-09-2026 | 22:13:36] Temp=31.8°C  Hum=51.7%  => Ventilador encendido
[17-09-2026 | 22:13:39] Temp=35.3°C  Hum=88.0%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:13:42] Temp=21.6°C  Hum=67.0%  => Todo estable, sistema apagado
[17-09-2026 | 22:13:45] Temp=14.5°C  Hum=73.6%  => Calefacción encendido
[17-09-2026 | 22:13:48] Temp=27.9°C  Hum=59.1%  => Todo estable, sistema apagado
[17-09-2026 | 22:13:51] Temp=14.2°C  Hum=65.1%  => Calefacción encendido
[17-09-2026 | 22:13:54] Temp=15.7°C  Hum=76.5%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 22:13:57] Temp=34.7°C  Hum=42.6%  => Ventilador encendido
[17-09-2026 | 22:14:00] Temp=34.8°C  Hum=59.5%  => Ventilador encendido
[17-09-2026 | 22:14:03] Temp=27.3°C  Hum=35.7%  => Todo estable, sistema apagado
[17-09-2026 | 22:14:06] Temp=24.0°C  Hum=57.7%  => Todo estable, sistema apagado
[17-09-2026 | 22:14:09] Temp=28.7°C  Hum=28.9%  => Humidificador encendido
[17-09-2026 | 22:14:12] Temp=31.4°C  Hum=93.4%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:14:15] Temp=14.4°C  Hum=79.5%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 22:14:18] Temp=29.7°C  Hum=52.6%  => Ventilador encendido
[17-09-2026 | 22:14:21] Temp=24.6°C  Hum=32.1%  => Humidificador encendido
[17-09-2026 | 22:14:24] Temp=28.1°C  Hum=47.3%  => Todo estable, sistema apagado
[17-09-2026 | 22:14:27] Temp=22.5°C  Hum=86.8%  => Deshumidificador encendido
[17-09-2026 | 22:14:30] Temp=31.6°C  Hum=53.5%  => Ventilador encendido
[17-09-2026 | 22:14:33] Temp=19.3°C  Hum=28.0%  => Humidificador encendido
[17-09-2026 | 22:14:36] Temp=23.1°C  Hum=84.7%  => Deshumidificador encendido
[17-09-2026 | 22:14:39] Temp=26.3°C  Hum=30.0%  => Humidificador encendido
[17-09-2026 | 22:14:42] Temp=35.9°C  Hum=87.0%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:14:45] Temp=27.6°C  Hum=41.6%  => Todo estable, sistema apagado
[17-09-2026 | 22:14:48] Temp=35.2°C  Hum=53.2%  => Ventilador encendido
[17-09-2026 | 22:14:51] Temp=16.4°C  Hum=72.7%  => Calefacción encendido
[17-09-2026 | 22:14:54] Temp=33.8°C  Hum=81.8%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:14:57] Temp=25.4°C  Hum=72.5%  => Todo estable, sistema apagado
[17-09-2026 | 22:15:00] Temp=28.2°C  Hum=45.4%  => Todo estable, sistema apagado
[17-09-2026 | 22:15:03] Temp=31.0°C  Hum=47.1%  => Ventilador encendido
[17-09-2026 | 22:15:06] Temp=30.6°C  Hum=25.8%  => A/C + Humidificador encendido
[17-09-2026 | 22:15:09] Temp=23.6°C  Hum=75.3%  => Deshumidificador encendido
[17-09-2026 | 22:15:12] Temp=17.1°C  Hum=27.0%  => Humidificador encendido
[17-09-2026 | 22:15:15] Temp=27.9°C  Hum=32.9%  => Humidificador encendido
[17-09-2026 | 22:15:18] Temp=24.1°C  Hum=60.4%  => Todo estable, sistema apagado
[17-09-2026 | 22:15:21] Temp=12.9°C  Hum=45.9%  => Calefacción encendido
[17-09-2026 | 22:15:24] Temp=14.2°C  Hum=30.4%  => Calefacción + Humidificador encendido
[17-09-2026 | 22:15:27] Temp=26.6°C  Hum=68.5%  => Todo estable, sistema apagado
[17-09-2026 | 22:15:30] Temp=33.4°C  Hum=46.8%  => Ventilador encendido
[17-09-2026 | 22:15:33] Temp=30.8°C  Hum=75.9%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:15:36] Temp=32.5°C  Hum=94.9%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:15:39] Temp=21.7°C  Hum=54.2%  => Todo estable, sistema apagado
[17-09-2026 | 22:15:42] Temp=27.2°C  Hum=56.3%  => Todo estable, sistema apagado
[17-09-2026 | 22:15:45] Temp=30.6°C  Hum=51.1%  => Ventilador encendido
[17-09-2026 | 22:15:48] Temp=21.6°C  Hum=61.4%  => Todo estable, sistema apagado
[17-09-2026 | 22:15:51] Temp=37.2°C  Hum=82.1%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:15:54] Temp=37.6°C  Hum=48.6%  => Ventilador encendido
[17-09-2026 | 22:15:57] Temp=12.3°C  Hum=79.4%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 22:16:00] Temp=26.6°C  Hum=78.4%  => Deshumidificador encendido
[17-09-2026 | 22:16:03] Temp=20.5°C  Hum=44.8%  => Todo estable, sistema apagado
[17-09-2026 | 22:16:06] Temp=12.8°C  Hum=33.2%  => Calefacción + Humidificador encendido
[17-09-2026 | 22:16:09] Temp=15.6°C  Hum=28.4%  => Calefacción + Humidificador encendido
[17-09-2026 | 22:16:12] Temp=32.9°C  Hum=91.4%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:16:15] Temp=16.3°C  Hum=45.7%  => Calefacción encendido
[17-09-2026 | 22:16:18] Temp=21.9°C  Hum=45.9%  => Todo estable, sistema apagado
[17-09-2026 | 22:16:21] Temp=16.1°C  Hum=36.5%  => Calefacción encendido
[17-09-2026 | 22:16:24] Temp=14.9°C  Hum=79.4%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 22:16:27] Temp=16.5°C  Hum=78.1%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 22:16:30] Temp=27.3°C  Hum=92.5%  => Deshumidificador encendido
[17-09-2026 | 22:16:33] Temp=28.2°C  Hum=83.5%  => Deshumidificador encendido
[17-09-2026 | 22:16:36] Temp=19.1°C  Hum=42.5%  => Todo estable, sistema apagado
[17-09-2026 | 22:16:39] Temp=23.5°C  Hum=33.6%  => Humidificador encendido
[17-09-2026 | 22:16:42] Temp=30.1°C  Hum=81.9%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:16:45] Temp=33.1°C  Hum=63.4%  => Ventilador encendido
[17-09-2026 | 22:16:48] Temp=32.7°C  Hum=58.0%  => Ventilador encendido
[17-09-2026 | 22:16:51] Temp=17.6°C  Hum=88.1%  => Deshumidificador encendido
[17-09-2026 | 22:16:54] Temp=23.7°C  Hum=39.3%  => Todo estable, sistema apagado
[17-09-2026 | 22:16:57] Temp=22.6°C  Hum=34.0%  => Humidificador encendido
[17-09-2026 | 22:17:00] Temp=21.0°C  Hum=59.7%  => Todo estable, sistema apagado
[17-09-2026 | 22:17:03] Temp=28.2°C  Hum=88.9%  => Deshumidificador encendido
[17-09-2026 | 22:17:06] Temp=30.4°C  Hum=82.7%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:17:09] Temp=14.1°C  Hum=57.5%  => Calefacción encendido
[17-09-2026 | 22:17:12] Temp=31.7°C  Hum=41.6%  => Ventilador encendido
[17-09-2026 | 22:17:15] Temp=26.1°C  Hum=35.5%  => Todo estable, sistema apagado
[17-09-2026 | 22:17:18] Temp=37.2°C  Hum=47.5%  => Ventilador encendido
[17-09-2026 | 22:17:21] Temp=29.9°C  Hum=92.8%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:17:24] Temp=16.3°C  Hum=43.2%  => Calefacción encendido
[17-09-2026 | 22:17:27] Temp=23.8°C  Hum=61.4%  => Todo estable, sistema apagado
[17-09-2026 | 22:17:30] Temp=14.7°C  Hum=73.9%  => Calefacción encendido
[17-09-2026 | 22:17:33] Temp=29.5°C  Hum=67.4%  => Ventilador encendido
[17-09-2026 | 22:17:36] Temp=28.9°C  Hum=87.9%  => Deshumidificador encendido
[17-09-2026 | 22:17:39] Temp=18.2°C  Hum=68.4%  => Todo estable, sistema apagado
[17-09-2026 | 22:17:42] Temp=20.7°C  Hum=94.9%  => Deshumidificador encendido
[17-09-2026 | 22:17:45] Temp=33.5°C  Hum=46.7%  => Ventilador encendido
[17-09-2026 | 22:17:48] Temp=22.1°C  Hum=47.9%  => Todo estable, sistema apagado
[17-09-2026 | 22:17:51] Temp=26.0°C  Hum=79.9%  => Deshumidificador encendido
[17-09-2026 | 22:17:54] Temp=34.4°C  Hum=86.7%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:17:57] Temp=31.2°C  Hum=79.0%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:18:00] Temp=19.2°C  Hum=52.3%  => Todo estable, sistema apagado
[17-09-2026 | 22:18:03] Temp=17.8°C  Hum=26.2%  => Humidificador encendido
[17-09-2026 | 22:18:06] Temp=18.5°C  Hum=57.3%  => Todo estable, sistema apagado
[17-09-2026 | 22:18:09] Temp=35.0°C  Hum=86.7%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:18:12] Temp=15.6°C  Hum=77.4%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 22:18:15] Temp=28.9°C  Hum=55.6%  => Todo estable, sistema apagado
[17-09-2026 | 22:18:18] Temp=29.7°C  Hum=72.6%  => Ventilador encendido
[17-09-2026 | 22:18:21] Temp=21.1°C  Hum=74.5%  => Todo estable, sistema apagado
[17-09-2026 | 22:18:24] Temp=21.5°C  Hum=90.6%  => Deshumidificador encendido
[17-09-2026 | 22:18:27] Temp=37.0°C  Hum=25.6%  => A/C + Humidificador encendido
[17-09-2026 | 22:18:30] Temp=23.6°C  Hum=90.6%  => Deshumidificador encendido
[17-09-2026 | 22:18:33] Temp=26.7°C  Hum=74.5%  => Todo estable, sistema apagado
[17-09-2026 | 22:18:36] Temp=31.3°C  Hum=33.1%  => A/C + Humidificador encendido
[17-09-2026 | 22:18:39] Temp=37.8°C  Hum=81.6%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:18:42] Temp=13.4°C  Hum=82.1%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 22:18:45] Temp=32.2°C  Hum=26.0%  => A/C + Humidificador encendido
[17-09-2026 | 22:18:48] Temp=29.0°C  Hum=27.6%  => Humidificador encendido
[17-09-2026 | 22:18:51] Temp=12.1°C  Hum=76.9%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 22:18:54] Temp=19.7°C  Hum=72.4%  => Todo estable, sistema apagado
[17-09-2026 | 22:18:57] Temp=18.8°C  Hum=86.0%  => Deshumidificador encendido
[17-09-2026 | 22:19:00] Temp=23.7°C  Hum=38.5%  => Todo estable, sistema apagado
[17-09-2026 | 22:19:03] Temp=32.2°C  Hum=51.8%  => Ventilador encendido
[17-09-2026 | 22:19:06] Temp=28.3°C  Hum=53.0%  => Todo estable, sistema apagado
[17-09-2026 | 22:19:09] Temp=19.1°C  Hum=68.8%  => Todo estable, sistema apagado
[17-09-2026 | 22:19:12] Temp=21.4°C  Hum=63.2%  => Todo estable, sistema apagado
